index,message
30702,no rush
18607,whatever ... watch the replay
32901,useless
25964,3 gunmark
28643,lol
4313,i softened him lol
8765,come
52567,stupid kids grow up
24437,fking light diference
41928,"hori, info ?"
41604,gooo
36430,#ERROR!
34262,shut the fuck up please
44313,srorry disvconect
1843,speak english
37959,now die
26004,i stack
46322,y and fail more noobie
26237,bot
7420,elc go now
34590,caernvon idiot
39533,I‘ve been spotted in A10!
44210,its in the line
13087,ще злийте )))
12034,retard
22760,&lt;#
5838,Im Spotted at E5!
31917,"перший бій, сток"
1229,should i cap
31854,ok
27291,spotted
6276,team ...
42945,i will take one shot
51483,i tried man
49120,u needed to kill cent
11307,too late
46709,HIDE IN BUSH
35746,They are all here
3180,Im Spotted at G2!
15061,7.7k already
5584,this game is so fun when u got 2 chiefs shoting gold
40395,ФОКУСЯТ
54412,елка спасибо тебе ...
24891,aiming
41159,PTA!!!
37652,I am spotted at F5!
2212,o7
5457,уроди!
5948,appres la bataille
3904,are you all bot???
37884,base def darling
32024,Im Spotted at H6!
6326,ty
18617,ff amx
41239,I am spotted at E4!
36328,gj light
12002,move
24279,прога ау
5257,DO NOT UPUSH souuth
44014,ns
13616,i give up. to many jokes in this battle. bye
34998,o outro está dandovolta
14535,goo to swim
33223,fuck you putin ho ri
25289,yes
21917,M 41 YOU MOM BORNE YOU ON A S S IDI OT
21679,cap!
20045,131 from the twitch drop thingty?
6378,wtf
1732,красава!&quot;
34711,some shots would be appreciated
33054,#ERROR!
34428,Awww... show me on the tank where the bad arty touched you...
43004,arta focus bz 176
8844,"problem, i have very bad view and camo"
40966,Im Spotted at E5!
32345,all my helath went to artys
8381,replay saved
40797,Dont jump :D
43404,hes playing for draw really?
51996,wz get eyes on cap
12998,Калабаново давай
35125,96...
11804,ja zaraz wracam kilka minut
12709,send it man
14675,team
51587,Spotted at H1
38541,"7,4k spot gg guys"
50853,skorpion?
48762,2K ty
46573,spotted
54587,I've been spotted in J6!
22185,skodea progeto campers come to help
1740,idiots
51521,holy shit
47260,report lynx
45274,"low, 1 shot"
50659,eat shit
31119,признайся при всех)
47328,6200 visible and I got some blind
25007,paly defensive let artillery help
29902,game over
30993,i think
4040,capiturem a base
25426,moment i relaud and go
28345,gg
40810,good job brNon-Toxic
21658,:(
35141,we on the lemming team
6989,holy crap its almost like playing the wrong side of the map was stupid
52145,arta run
48138,RICO GO
52510,Im Spotted at E3!
36923,cover me amx ac
33404,dmg shell
11426,"yeah, Leo i dead"
30298,how about some scouting lites?
44127,gg
47392,Засвет в квадрате E3!!!
28880,impotento
44641,"arty, shoot the fucking is3 and kr"
40623,yea
6917,why
48755,What are the chances of the LT sitting in the usual bush?
52434,get some distance
16839,SPOT PLS
23240,gg
33233,m103 help the 122 you incest faggot
29233,You know where they are
6889,camping heavies i swear
9798,gg
37725,be careful
42428,can we have snipers
20527,manta go spot
43794,"3 lts and no fcking spot, gg"
5291,amazing battle
51738,Меня засветили в A2!
37398,gg
42624,gg
8956,&gt;bz
6926,my rng isn't good today
53608,Im Spotted at K6!
51455,thank you so much
13472,it is spellede heavies you retard
26436,ис
54273,:'(
34253,elc u r nooob
45569,i spot
44925,u2
50515,сука инвалиды ебаные
51571,thx
5148,sry
3100,kv 2 reloads goooo t 34 muppet
16132,help
34018,лев тигр
41185,tx
32655,я у него просто спросил а ты как пёс лаять начал
28347,gg
35994,do i have some time to smoke a siggarette first?
5849,stupid E100 hide behind me
48797,gg
8853,:D
